System,TIC1,TIC2
WT,-0.520716,0.629396
WT,-0.197393,0.377406
WT,-0.455800,0.536570
WT,-0.022602,0.433516
WT,-0.351181,0.650544
WT,-0.224903,0.666618
WT,-0.487433,0.262726
WT,-0.290050,0.647512
WT,-0.190535,0.358539
WT,-0.321641,1.127543
WT,-0.298685,0.782041
WT,-0.252656,0.796011
WT,-0.336695,0.556703
WT,-0.269395,0.998212
WT,-0.215793,0.766330
WT,-0.338698,0.792335
WT,-0.498927,0.854182
WT,-0.095401,0.744097
WT,-0.248592,0.835365
WT,-0.274060,0.896904
WT,-0.161880,0.493530
WT,-0.169602,0.279709
WT,-0.079413,0.729211
WT,-0.459633,0.524083
WT,-0.067586,0.581673
WT,0.135265,0.645347
WT,-0.026736,0.766642
WT,0.232731,1.076535
WT,0.252223,0.847096
WT,0.107635,0.732976
WT,0.141562,0.663449
WT,0.111404,0.859513
WT,0.251043,1.212886
WT,0.344524,1.149578
WT,-0.056190,0.767373
WT,0.140792,1.002169
WT,0.325444,1.315341
WT,0.276021,0.990245
WT,0.081949,1.010621
WT,0.393334,0.856557
WT,0.126074,0.724082
WT,0.285202,1.001003
WT,0.170617,0.849946
WT,0.307629,1.046665
WT,0.082979,0.849082
WT,0.325200,0.694946
WT,0.299622,0.515693
WT,0.319895,1.050384
WT,0.237006,0.770393
WT,0.368569,1.071457
WT,0.161701,1.078832
WT,0.238786,0.923239
WT,0.187338,0.898258
WT,0.423845,0.997776
WT,0.384904,1.044324
WT,0.203855,0.804608
WT,0.407452,1.129152
WT,0.407717,1.214273
WT,0.742130,0.969774
WT,0.479115,0.924389
WT,0.057148,0.893395
WT,0.340763,0.849351
WT,0.507437,0.856572
WT,0.383372,1.033081
WT,0.491678,1.001818
WT,0.298317,0.870437
WT,0.396194,1.000045
WT,0.456793,1.166789
WT,0.427437,0.728981
WT,0.430152,1.040580
WT,0.289787,0.907424
WT,0.173708,0.783964
WT,0.513852,0.827327
WT,0.529505,0.999065
WT,0.462966,0.629331
WT,0.223769,0.723063
WT,0.558330,0.623461
WT,0.586334,0.428569
WT,0.583789,0.680011
WT,0.729717,0.903926
WT,0.527060,0.659722
WT,0.367471,0.687690
WT,0.467221,0.632834
WT,0.379582,0.741309
WT,0.388434,0.658223
WT,0.615422,0.550377
WT,0.237091,0.905097
WT,0.428868,0.914735
WT,0.538360,1.072291
WT,0.416486,1.016426
WT,0.121741,1.048563
WT,0.365972,1.103135
WT,0.447917,1.184202
WT,0.407540,1.133935
WT,0.361332,1.168965
WT,0.635190,1.055573
WT,0.429523,1.030001
WT,0.395085,1.093227
WT,0.200184,0.960615
WT,0.167021,0.953476
WT,0.308733,0.919849
WT,0.234924,0.852008
WT,0.115691,0.969568
WT,0.118844,0.985716
WT,0.189796,0.905023
WT,0.264814,0.943582
WT,0.220375,1.078931
WT,0.293126,0.888255
WT,0.018322,0.987561
WT,0.199964,0.674165
WT,0.570877,0.887473
WT,0.207298,0.952392
WT,0.439410,0.814568
WT,0.376750,0.748737
WT,0.405924,0.767380
WT,0.512412,0.849907
WT,0.363816,0.814393
WT,0.475802,1.086063
WT,0.379931,1.025083
WT,0.637452,1.093972
WT,0.643967,1.349292
WT,0.541739,1.146214
WT,0.090255,1.272901
WT,0.578566,1.168479
WT,0.668382,1.216790
WT,0.635817,1.146832
WT,0.341287,1.159908
WT,0.325094,0.802072
WT,0.427717,1.042721
WT,0.408292,0.992314
WT,0.291417,1.040341
WT,0.198272,0.969374
WT,0.347084,1.135505
WT,0.580744,0.796882
WT,0.349473,0.725840
WT,0.427900,0.766447
WT,0.498754,0.692592
WT,0.671789,0.825660
WT,0.565015,0.998304
WT,0.778108,1.043400
WT,0.577664,0.633792
WT,0.896419,0.919569
WT,0.643566,1.024516
WT,0.596544,0.874789
WT,0.598362,1.074264
WT,0.533749,0.720092
WT,0.720936,0.775232
WT,0.788756,0.844653
WT,0.712278,0.834960
WT,0.566644,0.909383
WT,0.539793,0.795939
WT,0.748386,1.124506
WT,0.802352,1.063216
WT,0.630351,0.918680
WT,0.787654,1.063748
WT,0.778219,0.895655
WT,0.490881,0.999631
WT,0.644230,0.902665
WT,0.734642,1.078396
WT,0.874884,1.437789
WT,0.457011,1.016622
WT,0.308914,0.960809
WT,0.288872,1.290867
WT,0.480269,1.167793
WT,0.446585,1.236808
WT,0.555392,1.157692
WT,0.295699,1.272352
WT,0.378305,1.254894
WT,0.632023,1.433656
WT,0.423617,1.555681
WT,0.562596,1.369570
WT,0.478035,1.373940
WT,0.602112,1.115282
WT,0.712765,1.107828
WT,0.452074,0.916595
WT,0.827192,1.259277
WT,0.559819,0.920234
WT,0.588990,1.277747
WT,0.403579,1.101683
WT,0.624324,1.162054
WT,0.732491,0.846632
WT,0.505069,1.085686
WT,0.303250,0.853342
WT,0.572266,1.309398
WT,0.533868,1.242004
WT,0.567638,1.065968
WT,0.763248,0.936877
WT,0.487477,1.000182
WT,0.423090,1.091819
WT,0.531971,1.391865
WT,0.364298,0.733317
WT,0.535636,1.162536
WT,0.330752,1.227277
WT,0.656974,1.183966
WT,0.609835,1.060061
WT,0.361566,0.882724
WT,0.333047,0.823288
WT,0.447468,0.991863
WT,0.425006,1.043673
WT,0.662768,1.165850
WT,0.622991,1.246451
WT,0.616080,1.144313
WT,0.689433,1.154636
WT,0.690836,1.287386
WT,0.576972,0.818626
WT,0.549227,1.245525
WT,0.659789,0.808622
WT,0.524804,0.831827
WT,0.498692,0.911233
WT,0.888347,0.958130
WT,0.711583,1.040815
WT,0.623159,0.618563
WT,0.661490,0.817405
WT,0.484628,1.086689
WT,0.548289,1.024011
WT,0.611346,0.903269
WT,0.841681,0.990182
WT,0.599232,1.347989
WT,0.631927,1.049015
WT,0.543267,1.085738
WT,0.752796,1.149528
WT,0.615877,0.817577
WT,0.371150,0.714906
WT,0.843931,1.066199
WT,0.683195,0.803257
WT,0.622290,0.922448
WT,0.601402,0.928967
WT,0.596325,1.028795
WT,0.604674,0.979475
WT,0.516368,0.973424
WT,0.635591,0.963116
WT,0.652557,0.916711
WT,0.626598,1.011860
WT,0.605509,1.179621
WT,0.423016,0.849051
WT,0.910666,0.833415
WT,0.553399,1.148207
WT,0.679229,0.921812
WT,0.927418,1.004678
WT,0.576535,1.239554
WT,0.915728,1.093987
WT,0.934161,1.211811
WT,0.782991,1.173728
WT,0.714480,1.010993
WT,0.601786,1.144898
WT,0.629197,1.309399
WT,0.522913,0.853698
WT,0.702555,1.064331
WT,0.835594,1.147766
WT,0.575819,1.114338
WT,0.580689,1.114985
WT,0.875345,1.357915
WT,0.775691,1.036914
WT,0.636181,0.813042
WT,0.772515,0.770838
WT,0.675565,0.935031
WT,0.883744,0.824298
WT,0.418257,0.715710
WT,0.614221,0.787859
WT,0.798080,0.790684
WT,0.759800,0.675958
WT,0.513739,0.788694
WT,0.590456,0.831395
WT,0.634038,1.000158
WT,0.748254,1.138631
WT,0.658902,0.835521
WT,0.780098,0.660712
WT,0.755596,0.954080
WT,0.703074,0.704313
WT,0.665673,1.096626
WT,0.773885,0.881103
WT,0.794454,0.710553
WT,0.830740,0.635689
WT,0.611075,0.476177
WT,0.593614,0.394004
WT,0.828695,0.641131
WT,0.694554,0.251474
WT,0.932302,0.260450
WT,0.902854,0.331705
WT,0.983209,0.784674
WT,0.979920,0.603658
WT,0.887825,0.387985
WT,0.837018,0.517926
WT,0.899162,0.708662
WT,0.761739,0.669936
WT,0.754240,0.678296
WT,0.920562,0.478945
WT,0.906105,0.337150
WT,0.625571,0.597091
WT,0.756385,0.192141
WT,0.847150,0.437655
WT,0.541911,0.611689
WT,0.762529,0.335066
WT,0.887280,0.520081
WT,0.690664,0.687177
WT,0.959432,0.561849
WT,0.683924,0.674057
WT,0.731924,0.453465
WT,0.626230,0.584824
WT,0.848964,0.508104
WT,0.893105,1.119845
WT,0.898890,1.119143
WT,0.850786,0.740096
WT,0.867447,0.970148
WT,1.102097,0.759991
WT,0.934683,0.962620
WT,0.876405,0.591892
WT,0.728743,0.296624
WT,0.846454,0.517064
WT,0.988031,0.503505
WT,0.473511,0.368561
WT,0.509503,0.028013
WT,0.891440,0.479698
WT,0.729201,0.378074
WT,0.929183,0.453081
WT,0.666533,0.161594
WT,0.769624,0.313428
WT,0.827431,0.352671
WT,0.780511,0.707853
WT,0.753656,0.199342
WT,0.815557,0.267182
WT,0.631034,0.124382
WT,0.650171,0.339295
WT,0.542798,0.154533
WT,0.677933,0.049561
WT,0.718558,0.338949
WT,0.572551,-0.080683
WT,1.070748,-0.295111
WT,0.732040,0.005914
WT,0.961142,0.336454
WT,0.811951,0.325899
WT,0.780864,0.138749
WT,0.852386,0.208037
WT,0.503983,0.564421
WT,0.663198,0.029894
WT,0.721651,0.260569
WT,0.515826,0.286264
WT,0.906126,0.149041
WT,0.943898,-0.113070
WT,0.831051,0.184601
WT,1.028603,0.212932
WT,0.903996,-0.116804
