Time_ns,WT,D111A,T110A_D111A,T60A_S63A
25.100000,0.309488,0.230332,2.601087,0.385370
25.200000,0.424403,0.237056,2.528247,0.305752
25.300000,0.383184,0.295418,2.548994,0.327004
25.400000,0.448465,0.272696,2.584735,0.315789
25.500000,0.464559,0.303671,2.606228,0.337430
25.600000,0.523796,2.641884,2.620011,0.286163
25.700000,0.476044,2.646415,2.604430,0.355781
25.800000,0.432533,2.602689,2.602689,0.322994
25.900000,0.455005,0.295570,2.613660,0.300118
26.000000,0.425537,0.225504,2.626683,0.312288
26.100000,0.432079,0.217048,2.634089,0.291546
26.200000,0.421714,0.292100,0.242915,0.299055
26.300000,0.451962,0.258383,0.278507,0.354666
26.400000,0.473736,0.282129,2.664307,0.311686
26.500000,0.392619,0.273534,2.651083,0.333535
26.600000,0.450532,0.250677,2.635873,0.372188
26.700000,0.411378,0.269444,2.640896,0.371560
26.800000,0.430294,0.307524,2.652576,0.361418
26.900000,0.424100,0.261865,2.641681,0.276834
27.000000,0.423726,0.245788,0.240045,0.344625
27.100000,0.388678,0.228076,2.663966,0.283360
27.200000,0.461462,0.242879,2.604068,0.253887
27.300000,0.433013,0.240197,2.658895,0.282508
27.400000,0.493609,0.247619,2.618165,0.273265
27.500000,0.501190,0.232145,0.225545,0.304070
27.600000,0.439308,0.344752,2.613098,0.276623
27.700000,0.523664,0.279356,0.275842,0.245463
27.800000,0.419100,0.317707,0.273468,0.274214
27.900000,0.482895,0.280177,2.671276,0.276035
28.000000,0.512307,0.228790,0.317644,0.314277
28.100000,0.474927,0.219157,0.269864,0.292488
28.200000,0.486583,0.188386,2.744869,0.337697
28.300000,0.401990,0.210552,0.286478,0.315454
28.400000,0.435115,0.238558,0.285767,0.292831
28.500000,0.528492,0.214634,0.282019,0.282017
28.600000,0.476785,0.255644,0.326715,0.259154
28.700000,0.379056,0.227564,0.308071,0.283072
28.800000,0.348545,0.237099,0.296365,0.306129
28.900000,0.309768,0.208813,0.286137,0.297869
29.000000,0.298270,0.185128,0.211450,0.354184
29.100000,0.351142,0.211301,0.246122,0.379768
29.200000,0.307481,0.180335,0.270359,0.326501
29.300000,0.360635,0.186091,0.271653,0.240444
29.400000,0.407680,0.226342,0.290189,0.284723
29.500000,0.390423,0.250656,0.300735,0.274353
29.600000,0.373517,0.223200,0.225990,0.241051
29.700000,0.445317,0.268376,0.273561,0.269321
29.800000,0.439134,0.230475,0.238059,0.282945
29.900000,0.395480,0.274601,0.274006,0.306158
30.000000,0.382933,0.251392,0.267596,0.286454
30.100000,0.388741,0.209585,0.256722,0.301764
30.200000,0.380061,0.230017,0.239361,0.293935
30.300000,0.352893,0.203419,0.278526,0.302586
30.400000,0.368819,0.230655,0.256114,0.317305
30.500000,0.358221,0.251966,0.287083,0.279979
30.600000,0.349963,0.294957,0.356083,0.292013
30.700000,0.337359,0.323094,0.347930,0.302076
30.800000,0.347182,0.405042,0.280367,0.296826
30.900000,0.298271,0.331277,0.255360,0.306704
31.000000,0.338362,0.317993,0.308214,0.268058
31.100000,0.325642,0.246568,0.313687,0.275367
31.200000,0.356378,0.341959,0.312060,0.269976
31.300000,0.403655,0.298376,0.296135,0.256858
31.400000,0.422594,0.300700,0.280255,0.249066
31.500000,0.440097,0.289201,0.321508,0.278315
31.600000,0.438368,0.207410,0.310886,0.270575
31.700000,0.431148,0.224101,0.286948,0.314463
31.800000,0.441625,0.238354,0.329354,0.374142
31.900000,0.442998,0.212789,0.311231,0.337677
32.000000,0.473620,0.300472,0.309277,0.321927
32.100000,0.467034,0.359816,0.302367,0.330469
32.200000,0.376914,0.359685,0.284326,0.329347
32.300000,0.460323,0.318196,0.260007,0.340025
32.400000,0.370411,0.329902,0.302190,0.293318
32.500000,0.346162,0.324258,0.277111,0.286580
32.600000,0.356853,0.280334,0.262322,0.292943
32.700000,0.357040,0.280609,0.292567,0.267617
32.800000,0.362169,0.304328,0.334813,0.300412
32.900000,0.426312,0.282755,0.296274,0.316265
33.000000,0.332014,0.252023,0.282075,0.366935
33.100000,0.394231,0.272582,0.321566,0.303648
33.200000,0.427359,0.291802,0.440055,0.305630
33.300000,0.389618,0.292631,0.420778,0.319642
33.400000,0.314541,0.282187,0.425333,0.356650
33.500000,0.245993,0.280546,0.471632,0.338925
33.600000,0.305990,0.270230,0.449257,0.326743
33.700000,0.276075,0.271899,0.393416,0.338178
33.800000,0.254486,0.228901,0.411312,0.308411
33.900000,0.287636,0.236163,0.475665,0.322349
34.000000,0.309495,0.240450,0.520042,0.311506
34.100000,0.328486,0.269911,0.523209,0.289738
34.200000,0.359093,0.269774,0.543282,0.275851
34.300000,0.348274,0.330099,0.560260,0.277827
34.400000,0.361139,0.270490,0.558267,0.323844
34.500000,0.412011,0.303497,0.541942,0.298031
34.600000,0.409517,0.261407,0.641453,0.331794
34.700000,0.407878,0.305065,0.603719,0.338747
34.800000,0.380129,0.271197,0.558133,0.331325
34.900000,0.419654,0.313642,0.583865,0.388182
35.000000,0.410664,0.262657,0.518041,0.322620
35.100000,0.514714,0.282698,0.613065,0.285048
35.200000,0.398196,0.262524,0.528081,0.309809
35.300000,0.554907,0.300604,0.582633,0.278468
35.400000,0.491589,0.244368,0.594646,0.293942
35.500000,0.546562,0.270739,0.590276,0.317723
35.600000,0.490372,0.265397,0.635136,0.343900
35.700000,0.499909,0.283516,0.668990,0.300602
35.800000,0.394616,0.256343,0.747578,0.321117
35.900000,0.472685,0.272698,0.625007,0.309383
36.000000,0.495366,0.363913,0.755274,0.312119
36.100000,0.480996,0.287138,0.671293,0.366121
36.200000,0.626614,0.250109,0.622285,0.362960
36.300000,0.711553,0.215813,0.649044,0.338961
36.400000,0.560438,0.269804,0.668778,0.331542
36.500000,0.414322,0.275721,0.743353,0.338201
36.600000,0.500775,0.267379,0.741725,0.346455
36.700000,0.448707,0.267039,0.676866,0.373595
36.800000,0.513582,0.237167,0.790756,0.351446
36.900000,0.482516,0.303245,0.775947,0.324683
37.000000,0.547843,0.268861,0.849577,0.327304
37.100000,0.548770,0.316962,0.858832,0.367347
37.200000,0.584533,0.299247,0.823596,0.320911
37.300000,0.601473,0.289338,0.891952,0.344888
37.400000,0.509390,0.251051,0.878060,0.321198
37.500000,0.555196,0.256788,0.814553,0.341731
37.600000,0.555059,0.277069,0.866624,0.350556
37.700000,2.729611,0.270704,0.895235,0.321778
37.800000,0.526316,0.262457,0.821763,0.279186
37.900000,0.510230,0.292500,2.662766,0.306927
38.000000,0.412378,0.316187,0.899103,0.348291
38.100000,0.441970,0.267690,2.654619,0.344033
38.200000,0.535616,0.321061,2.650629,0.345256
38.300000,0.517990,0.307044,2.634340,0.342966
38.400000,0.519516,0.252770,2.622496,0.371364
38.500000,0.593355,0.293089,2.631612,0.336175
38.600000,0.649258,0.284049,2.629020,0.361043
38.700000,0.552426,0.323407,0.814529,0.353101
38.800000,0.439898,0.417480,2.617791,0.367010
38.900000,0.478181,0.413442,0.971432,0.366781
39.000000,0.530945,0.356598,2.642326,0.330756
39.100000,2.667026,0.331232,0.853172,0.383973
39.200000,0.520062,0.367385,0.821132,0.357054
39.300000,0.503371,0.328748,0.815835,0.327358
39.400000,0.582519,0.308404,0.808377,0.386598
39.500000,0.562118,0.346380,2.659508,0.343315
39.600000,0.451538,0.363258,2.669506,0.332808
39.700000,0.529853,0.378803,2.650810,0.350655
39.800000,0.488485,0.382907,0.847120,0.330232
39.900000,0.536899,0.341889,0.847576,0.322173
40.000000,0.535015,0.331129,0.852899,0.326106
40.100000,0.489881,0.346116,2.645433,0.361977
40.200000,0.500963,0.401110,0.865753,0.366152
40.300000,0.465321,0.363562,2.649239,0.316601
40.400000,0.433723,0.379970,2.664468,0.305949
40.500000,0.421794,0.298558,2.668348,0.319713
40.600000,0.446279,0.338296,2.629494,0.288277
40.700000,0.390749,0.351456,2.665647,0.310623
40.800000,0.409275,0.302989,2.647103,0.309897
40.900000,0.437143,0.353509,2.633151,0.305143
41.000000,0.581694,0.279110,0.816265,0.311244
41.100000,0.556363,0.318727,0.778359,0.298577
41.200000,0.531201,0.325445,2.643123,0.277520
41.300000,0.604399,0.360164,0.846138,0.338421
41.400000,0.477335,0.330539,2.651873,0.295547
